fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A10_S106_L001_R1_001.fastq.gz	HD01_02_A10_S106_L001_R1_001	HD01	1	HD01_02_A10	02	A10	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A10_S106_L001_R2_001.fastq.gz	HD01_02_A10_S106_L001_R2_001	HD01	1	HD01_02_A10	02	A10	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A10_S106_L002_R1_001.fastq.gz	HD01_02_A10_S106_L002_R1_001	HD01	1	HD01_02_A10	02	A10	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A10_S106_L002_R2_001.fastq.gz	HD01_02_A10_S106_L002_R2_001	HD01	1	HD01_02_A10	02	A10	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A11_S11_L001_R1_001.fastq.gz	HD01_02_A11_S11_L001_R1_001	HD01	1	HD01_02_A11	02	A11	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A11_S11_L001_R2_001.fastq.gz	HD01_02_A11_S11_L001_R2_001	HD01	1	HD01_02_A11	02	A11	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A11_S11_L002_R1_001.fastq.gz	HD01_02_A11_S11_L002_R1_001	HD01	1	HD01_02_A11	02	A11	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A11_S11_L002_R2_001.fastq.gz	HD01_02_A11_S11_L002_R2_001	HD01	1	HD01_02_A11	02	A11	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A12_S108_L001_R1_001.fastq.gz	HD01_02_A12_S108_L001_R1_001	HD01	1	HD01_02_A12	02	A12	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A12_S108_L001_R2_001.fastq.gz	HD01_02_A12_S108_L001_R2_001	HD01	1	HD01_02_A12	02	A12	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A12_S108_L002_R1_001.fastq.gz	HD01_02_A12_S108_L002_R1_001	HD01	1	HD01_02_A12	02	A12	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_A12_S108_L002_R2_001.fastq.gz	HD01_02_A12_S108_L002_R2_001	HD01	1	HD01_02_A12	02	A12	L002	R2	FALSE
